,"佐藤 弘章","バーチャルエンタプライズにおける企業間合意形成に関する研究",
,"江下 善行","矩形配置機械群における自律的レイアウト創生機能に関する研究",
2002,"H14",3,
,"I.Bellamine","Regression Analysis for Production Process Inefficiency",
,"宮後 謙太郎","作業ネットワークにおける多目的配置問題に関する研究",
,"指尾 健太郎","オープン環境下での分散仮想工場の構築",
,"辻 竜彦","スケジューリング問題のルール獲得における行動ネットワークの構築に関する研究",
,"林 崇文","不確実性のあるデータによる技術変化評価に関する研究",
,"宮本 良平","サプライチェーンにおけるゲーム理論的企業間交渉に関する研究",
,"池戸 雅人","ラジオサージェリー治療計画の数理的立案支援に関する研究",
2001,"H13",3
,"鵜塚 伸治","ラジオサージェリーにおける照射条件の数理的決定に関する研究",
,"門前 和比古","リアルタイム・スケジュール修正におけるヒューリスティックスの獲得に関する研究",
,"岸上 智広","広域生産システムの分散型シミュレーション用通信システムに関する研究",
,"田中 猛","格子型機械配置生産システムの自律的運用に関する研究",
,"原田 憲二","複雑系経済学から見た市場価格決定のダイナミズム",
,"村上 耕平","強化学習法による並列機械群の自律的運用法に関する研究",
,"張 小明","ＦＭＳにおける自律的工具・ジョブ配分計画法に関する研究",
2000,"H12",3
,"荒木 奈美","学習過程のネットワーク表現と行動知識の獲得",
,"臼井 肇","アジル・マニュファクチャリングにおけるコスト分析に関する研究",
,"坂中 真弓","バーチャル・エンタープライズ構成における企業間の合意形成過程に関する研究",
,"十河 知也","ＧＡを用いた照明計画法に関する研究",
,"道田 英雄","不確実性を考慮した効率性評価法に関する研究",
1999,"H11",3,
,"飯尾 啓之","大容量ＦＭＳの自律的運用法に関する研究",
,"大内 淳","オブジェクト指向分散型生産シミュレーションシステムおよびモデル構築法の開発",
,"城所 正博","ガンマナイフ放射線治療の照射条件の数理的決定法に関する研究",
,"国正 聡","進化・学習型自己組織化生産スケジューリングに関する研究",
1998,"H10",3,
,"今井 克哉","ラジオサージェリーにおける最適照射条件決定法に関する研究",
,"金輪 拓也","時間依存型資源制約を考慮した複数プロジェクト計画法に関する研究",
,"田中 雅也","押し出し型・引き取り型生産管理法の特製評価","-分散型仮想工場における実験-"
,"岩永 浩史","ＤＥＡによる生産システムの効率性評価に関する研究",
,"今田 将博","大容量フレキシブル生産システムの経済性に関する研究",
,"Leong Kok Wah","眼底白斑による透析アミロイドーシス患者の画像診断法に関する研究",
1997,"H9",3,
,"河崎 利信","２目的資源分割問題におけるモデル化および解法に関する研究",
,"舛岡 征浩","行動過程に基づく行動知識の獲得",
,"宮本 哲也","オブジェクト指向分散型生産システムシミュレータに関する研究",
,"関 宇","HV-FMS のシミュレーション・システムに関する研究",
1996,"H8",3,
,"荻田 篤史","分散型生産システムシミュレーションによる集団意思決定支援に関する研究",
,"木谷 靖","分散型仮想工場の構築に関する研究","～シミュレータ群と生産管理システムの統合～"
,"松本 博忠","工具配分制約型FMSスケジューリングに関する研究",
1995,"H7",3,
,"角田 晴久","生産システムシミュレータ群の統合に関する研究","－同期メカニズムとその特性－"
,"黒川 憲之","放射線外照射治療における門数と線量分布の満足化",
1994,"H6",3,
,"正岡 良規","有限資源の利用日程を考慮した複数プロジェクト計画法",
,"平島 陽子","生産システムシミュレータの統合による分散型シミュレータ構築に関する研究",
,"山根 真宇","分散型生産システムシミュレーションにおける広域搬送系に関する研究",
,"染田 敏彦","放射線腔内照射治療計画における意思決定に関する研究",
,"田中 美彦","ファジィ推論を用いたスケジューリング技法に関する研究",
,"諏訪 晴彦","２仕事入れ換え法によるスケジューリング・ルールの獲得",
,"寺内 正憲","ニューラルネットワークを用いた脳血管ステレオ造映像の3次元再構成",
,"杉谷 浩成","オークション方式による工具とジョブの機械への割り当て法に関する研究",
,"李 建平","ＧＡを用いたスケジューリング問題に関する研究",
,"何 其明","準同一・並列機械における多目的スケジューリング問題に関する研究",
,"賈 東","無人搬送車の運用管理法に関する研究",
1993,"H5",3
,"金田 健一","確定日程を考慮した複数プロジェクト計画法",
,"三宅 敏之","多目的計画法による放射線腔内照射治療計画に関する研究",
,"勢濃 唯喜","納期ずれ満足度最大化スケジューリング問題に関する研究",
,"伊藤 英昭","脳血管造影像処理における血管グループ分類処理に関する研究",
,"平野 勝","CIM環境下における生産システムシミュレーションに関する研究",
1992,"H4",3
,"養父 真吾","ディスク装置における動的データ配置問題に関する研究",
,"西川 明伸","無人搬送台車の割当て法に関する研究",
,"中島 孝夫","階層構造を持った分散型シミュレーションシステムに関する研究",
,"岡本 容典","ニューラルネットワークを用いた脳血管造影像の構造解析",
,"蔭山 実香夫","機械制約を考慮したスケジューリング問題に関する研究",
1991,"H3",3
,"伊津野 貴彦","属性の物理的性質を考慮したデータベース論理スキーマ設計",
,"淺田 克暢","ツリー表現による脳血管のモデル・マッチングに関する研究",
,"山田 正人","生産システムの分散型シミュレーションにおける同期法の研究",
1990,"H2",3
,"坂口 政広","医用画像を用いた臓器実体モデル作成に関する研究",
1989,"S64；H1",3
,"平越 裕之","３次元ロボット動作シミュレータに関する研究",
,"高田 実","多層構造表現による生産システム・シミュレータの開発",
,"田坂 光伸","分散システム上での離散イベントシミュレーションに関する研究",
,"西岡 拓也","脳血管ステレオ造影像に基づく３次元画像復元処理に関する研究",
,"関 陽","バイプレーン脳血管造影像のインテリジェント画像処理に関する研究",
1988,"S63",3
,"河内 素子","シミュレーションによる工場内自動搬送システム計画と運用に関する研究",
,"水野 一郎","視覚情報に基づくロボットの作業環境記述に関する研究",
,"山脇 達也","１人および２人デバッガーによる離散型ソフトウェアの信頼性解析とその応用",
,"熊本 和浩","組立ロボットの自動動作経路決定に関する研究",
,"田地野 悦子","３次元放射線治療計画システムにおける視覚的支援に関する研究",
,"小澤 一彰","知識情報処理による脳血管３次元構成に関する研究",
1987,"S62",3
,"藤村 恒太","ステレオ造影像に基づく脳血管３次元構成と構造情報計測に関する研究",
,"明野 和彦","バイプレーン・シネアンギオグラムに基づく脳血管３次元情報計測システムに関する研究",
