,"阪口真規","実仮想融合型生産システムにおけるFRIDを導入した分散型情報管理の有効性に関する研究",
,"清水達也","多属性交渉を行う多階層型複雑系仮想市場の特性解析",
,"高井剛","複雑ネットワーク環境における情報拡散防止に関する基礎的研究",
2012,"H24",3,
,"岩岡隼平","MRガイド下集束超音波治療における照射点追尾のための肝臓の移動・変形解析",
,"奥野天介","組合せオークションを用いたダブルディープ型立体自動倉庫における入出庫スケジューリング最適化に関する基礎検討",
,"小林洋平","コスト最小化を目的としたロット編成を有するフレキシブルフローショップへのラグランジュ分解・調整法の適用",
,"野上隼","エージェントシミュレーションを用いた地下商店街店舗レイアウトに関する基礎検討",
,"藤田健一","PSOにおける求解履歴を用いた探索能力の多様化に関する基礎検討",
,"吉川智哉","実仮想融合型生産システムの概念を用いたモデルプラントに対する制御機構の分散化に関する研究",
2011,"H23",3,
,"植村南海","セントラルキッチンを対象としたラインシュミレーションによるサービス生産システムの運用・効率化支援",
,"小林広治","距離の概念を導入した完全競争型仮想市場における資源配分特性解析",
,"田上喜一","ＭＲＩによる肝臓の動態解析に基づく集束超音波治療時の３次元温度分布シミュレーション",
,"田ノ畑裕幸","列生成法を用いたフローショップスケジューリング問題の最適化に関する研究 － 列生成アルゴリズムの一提案 －",
,"中井祐貴","セル生産システムにおける組合せオークションを用いた作業者の動的配置問題を含むスケジューリング手法",
,"野津友美","エージェント間にネットワーク構造を有する複雑系仮想市場における生産者の価格決定戦略",
2010,"H22",3,
,"今西啓太","分散協調型生産スケジューリングシステムを対象としたGPU汎用計算環境CUDAの実装",
,"岩元隆志","段取り替えを考慮したフレキシブルフローショップを対象とする分散協調型スケジューリング手法の基礎的考察",
,"太田博明","自律分散型生産システムを対象としたリアクティブ・スケジューリング時期決定手法に関する基礎的研究",
,"阪口英生","複雑ネットワーク導入した分散遺伝的アルゴリズムの基礎的研究",
,"指熊康"太,"多様性の維持を考慮した領域適応型Particle Swarm Optimizationの改良手法",
,"八田卓","立体自動倉庫の入出庫スケジューリングにおける組合せオークションを用いた最適化手法の基礎検討",
,"山田菜緒","エージェント間にネットワーク構造を有する複雑系仮想市場の特性解析",
2009,"H21",3,
,"青山 晋也","Ｊコスト論を用いた生産システムの効率的運用法に関する研究",
,"大森 達也","セル生産スケジューリングにおける組合せオークションを用いた人員配置計画問題の最適化手法に関する一提案",
,"芝田 佳明","機械加工ジョブショップを対象とする短期シミュレーションを用いたオークション型生産スケジューリングに関する基礎研究－競り値優先順位の自動決定手法－",
,"高尾 好江","腹腔臓器のためのＭＲガイド下集束超音波治療のための3次元照射位置追尾",
,"辻部 晃久","メンテナンスを有するフレキシブルジョブショップを対象とした分散協調型生産スケジューリング手法に関する研究",
,"松田 徹也","消費者が需要量制約を有する完全競争型仮想市場における資源配分特性",
,"吉川 智哉","品質の非均質性を導入したサービスの普及過程に関する基礎的研究",
2008,"H20",3,
,"江田 崇","複雑ネットワーク環境下における外部性を有する製品の普及特性に関する研究",
,"蔵野 嵩子","繰り返し工程を有する生産システムにおけるProactive Maintenance Scheduling に関する研究",
,"小林 大祐","改良型Predator-Prey Particle Swarm Optimizationによる多目的最適化手法の一提案",
,"田中 友紀","モデルプラントを用いた実仮想融合型生産スケジューリングに関する基礎研究",
,"都出 さやか","不確実性を有する生産ラインにおけるスケジューリング支援システムの一提案",
,"徳岡 千恵","生産システムにおける意思決定支援のための情報提示機能に関する考察",
,"長谷川 弘幸","半導体ウェハ生産ラインにおける資源割当問題に対する組合せオークションを用いた最適化手法に関する研究",
2007,"H19",3,
,"大塚 太朗","マルチエージェント・システムを用いた変化追従型生産シミュレーション手法の一提案",
,"小西 孝行","進化的アルゴリズムを組み込んだハイブリッド型Particle Swarm Optimizationの一提案",
,"小路 優","腹部MR画像を用いた血管追尾に関する基礎研究",
,"辻 翔平","オークションによるセル間交渉を用いたセル生産スケジューリング手法の一提案",
,"西林 聡","繰り返し処理を含むフローショップ型生産ラインを対象とする分散協調型スケジューリング手法の一提案",
,"松山 芳和","完全競争型仮想市場における消費者の持つ効用関数の資源配分特性への影響",
,"水島 優二","逆シミュレーション手法の消費者購買予測への適用に関する研究",
2006,"H18",3,
,"Abe Helio Kaoru","A Proposal of Multi-Agent based Automatic Updatable Modeling Methodology for Manufacturing Systems Simulation",
,"上廣 健二","マルチエージェントシミュレーションを用いた災害時における避難誘導法に関する研究,-建物火災を対象に-",
,"奥 可菜子","MR画像の相関を用いた肝臓の移動・変形同定法",
,"神野 亘俊","情報共有レベルがバーチャルエンタプライズの特性に与える影響について",
,"棚橋 佑子","機械加工ジョブショップにおけるオークション型スケジューリングに関する基礎研究,-設備制約の着手可能日に及ぼす影響-",
,"塚本 有沙","セル生産方式における作業割当に関する実験的研究",
,"三浦 克仁","セル生産におけるジョブ・工具の組合せオークション配分法に関する基礎研究",
,"森川 幸祐","生産管理技術者育成支援ツールとしてのシミュレーションシステムの機能設計,-初期状態設定機能-",
2005,"H17",3,
,"岡田 勇樹","セット受注製品の効率的生産方式に関する基礎研究",
,"酒井 唯史","Particle Swarm Optimizationの基本特性解析～速度パラメータと最適性～",
,"藤井 大輔","企業間交渉における仲介業者の役割に関する研究",
,"松永 祐樹","市場指向プログラミングの生産スケジューリング問題への適用",
,"横瀬 紘子","オークション方式を用いたセル生産システムの運用に関する基礎研究",
2004,"H16",3,
,"稲生 進也","コストベーススケジューリングに関する事例研究,－共通バッファを中心とした多段階型生産システムへの適用－",
,"大友 達裕","ローリングスケジュールにおける判断基準の獲得に関する研究",
,"小原 裕貴","複雑系経済学に基づく適応型人工市場に関する研究,－供給戦略への強化学習の適用－",
,"金井 一篤","マルチエージェントシステムを用いた観光地発展における経営戦略",
,"成川 輝生","バーチャルエンタプライズにおける水平分業型企業間提携に関する研究",
,"羽田 真希","押し出し型生産管理のコストを指標とした改善方策に関する基礎研究",
,"浜口 賢一","市場モデルを用いたマルチエージェント型生産スケジューリング手法の提案",
,"藤本 智子","格子型機械配置生産システムにおける自律的レイアウト創生機能の性能評価に関する研究",
,"森 康洋","磁場勾配を用いたMR融合型内視鏡の位置検出に関する基礎研究",
2003,"H15",3,
,"荒木 康宏","局所的スケジュールの全体システムに対する波及効果に関する研究,－分散仮想工場モデルによる事例研究－",
,"石井 沙緒里","仮想工場における活動基準コスト分析支援システムの開発",
,"國領 大介","有限要素法を用いたＭＲ温度計測誤差補正法",
,"小松 真子","ＭＲ－ＩＶＲ用カテーテルと視認システムの開発",
,"清水 賢哉","ＭＡＳによる流通モデルの特性評価",
,"杉森 光洋","ジョブショップ・スケジューリングにおけるコスト基準評価に関する研究",
,"関 俊哉","格子型機械配置生産システムにおける自律的ライン形成に関する研究",
,"高木 正仁","不完全競争市場における市場指向プログラミングの特性評価",
,"山崎 雄介","動的スケジューリングにおけるメタルール獲得のための学習アルゴリズムの性能評価",
2002,"H14",3,
,"菅原 章仁","多段階直列工程におけるスケジューリング手法に関する事例研究",
,"宇都宮 拓真","格子型配置機械群における自律的MC専用化方策に関する研究",
,"大家 健司","複雑系経済学に基づく人工市場モデルに関する基礎研究",
,"小野 公嗣","MR-IVRにおけるカテーテル位置情報抽出と3D表示",
,"小林 哲也","コストを考慮した生産方式の評価法に関する事例研究",
,"富永 昌伸","並列機械に対するディスパッチングルール選択知識の獲得に関する研究",
,"原田 泰樹","MR位相画像を用いた体動・臓器変形補正に関する基礎研究",
,"吉村 徳泰","市場指向プログラミングによる人工市場モデルの定式化に関する一提案",
2001,"H13",3,
,"中村 誠治","舞台照明条件の近傍探索決定法に関する研究",
,"安川 寛志","ばらつきのあるデータによる効率性評価のための包絡分析法に関する研究",
,"山下 嘉啓","機械故障を考慮した予見スケジューリングに関する基礎研究",
,"江下 善行","格子型機械配置生産システムにおけるAGVの運用法に関する研究",
,"川本 裕一","分散仮想工場を用いた生産エリア設計・計画案の総合評価に関する研究",
,"後藤 敏之","数理計画法を用いた講座配属問題のモデル化の研究",
,"佐藤 弘章","製品納期に基づくサプライチェーン形成過程に関する基礎研究",
,"吉井 崇朗","分散仮想工場の評価用システムの構築",
2000,"H12",3,
,"赤瀬 有美","分散型仮想工場における新規受注発生時のコスト評価法に関する研究",
,"池戸 雅人","ラジオサージェリーにおける照射経路の数理的決定法",
,"指尾 健太郎","オープン環境下における分散仮想工場の試作",
,"藤井 秀和","ニューラルネットワークを用いた店舗照明支援システムに関する研究",
,"宮後 謙太郎","セル生産システムにおけるセル構成法に関する研究",
,"宮本 良平","コーディネータが存在するバーチャルエンタープライズ形成に関する研究",
,"辻 竜彦","バックトラック情報を考慮した行動知識の獲得に関する研究",
,"林 崇文","確率的フロンティア理論と包絡分析法による技術変化の評価とそのロバスト性",
1999,"H11",3,
,"池上 奈穂","Ｔａｂｕ Ｓｅａｒｃｈ を用いたガンマナイフ放射線治療計画",
,"鵜塚 伸治","数理的手法によるラジオサージェリーの照射条件決定に関する研究",
,"門前 和比古","リアクティブ・スケジューリングにおけるスケジュール修正知識の獲得手法に関する研究",
,"岸上 智広","異なるプラットフォームに対応した分散型生産シミュレーションシステムの構築法",
,"杉浦 圭司","分散型仮想工場におけるロットレベルコスト分析に関する研究",
,"田中 猛","ＨＶ－ＦＭＳにおける高速工作機械の導入とその効果に関する研究",
,原"田 憲二","非均質型マルチエージェントによる生産スケジューリングに関する研究,～契約社会における合意形成プロセスのメタファー～",
,"池見 憲一","店舗照明における官能分析評価システムの開発",
,"内野 貴史","ＦＭＳにおける工具配分法に関する研究",
,"村上 耕平","無閉路有向グラフのＮ－連鎖分割問題に関する研究",
1998,"H10",3,
,"秋田 真一","オークション法によるFMSスケジューリングに関する研究",
,"荒木 奈美","行動過程に基づく行動選択知識の学習,－２次元積み合わせ問題への適用－",
,"坂中 真弓","オブジェクト指向型生産システムシミュレータに関する研究,－ユーザインタフェイスの開発－",
,"十河 知也","GAを用いた舞台照明支援システムに関する研究",
,"高野 道憲","市場取り引きの概念を用いたスケジューリングの特性解析",
,"竹下 忠昭","ガンマナイフを用いた放射線治療計画に関する研究,－線形計画法による照射線量の制御－",
,"道田 英雄","リコースを用いた確率的DEAの研究",
,"上田 和史","透析アミロイドーシス患者の眼底白斑の抽出と定量化に関する研究",
,"臼井 肇","アジル・マニュファクチャリングにおけるコスト分析に関する基礎研究",
1997,"H09",3,
,"新村 洋幸","オークション法を用いた HV-FMS の運用に関する研究",
,"波田 直哉","生産システムの効率性評価に関する研究",
,"飯尾 啓之","HV-FMS の最適構成法に関する研究",
,"大内 淳","分散型生産システムシミュレーションにおけるエリア間搬送モデルに関する研究",
,"加納 真波","舞台照明におけるスポットライト設定に対するGAの適用",
,"城所 正博","定位的放射線治療計画の数理的最適化に関する基礎研究",
,"国正 聡","自己組織化スケジューリングのシミュレーションによる特性評価",
,"鈴木 裕志","ガントチャートモデルを利用した事例ベース・スケジューリングに関する研究",
,"三好 孝明","透析アミロイドーシス患者の眼底白斑の抽出・定量化に対する画像処理技法の適用",
1996,"H08",3,
,"今井 克哉","ラジオサージェリーにおける照射条件決定に関する基礎研究",
,"今田 将博","確率的2次計画問題の効率的解法アルゴリズムの開発に関する研究",
,"岩永 浩史","繰り返し測定による効率性分析のための確率的ＤＥＡ",
,"宇杉 大介","舞台のフロント照明におけるスポットライト設定に関する研究",
,"金輪 拓也","有限資源制約下における複数プロジェクト計画法に関する研究",
,"杉本 真紀","ボルツマンマシンを用いた脳血管ステレオ画像の３次元再構成",
,"田中 雅也","生産システムシミュレーションにおける分散モデルと同期機構の適合性に関する研究",
,"田中 由美子","ガントチャート・モデルに基づく事例ベース・スケジューリングに関する研究",
,"長谷川 真","分散型生産システムシミュレーションにおける負荷分散とプロセッサ割り当てに関する研究",
,"斎藤 嘉孝","高速大容量ＦＭＳの構成に関する基礎研究",
,"大矢 飛","分散型生産システムシミュレーションにおける搬送系モデルに関する研究",
,"滝野 充彦","配送センターにおけるピッキング作業工程の解析",
1995,"H07",3,
,"河崎 利信","グラフ分割問題における２目的最適化手法に関する研究",
,"山本 泰弘","FMSにおけるジョブ及び工具配分問題へのオークション方式の適用",
,"宮本 哲也","生産システムシミュレータ統合のためのシミュレーション言語機能に関する研究",
,"松田 東太","放射線外照射治療計画における分割照射条件の設定",
,"浜本 幸治","スポットライトにおける照明条件の最適設定に関する研究",
,"木村 禎孝","単純バケット法を用いた分散型生産システムシミュレータの特性に関する研究",
,"伊藤 彰則","ホップフィールドモデルによる脳血管ステレオ画像の３次元再構成",
,A"CHANA JITTACHALOTHON","生産システムシミュレータ群の生産管理システムによる統合に関する研究",
,"麻野 浩樹","確率的データによる効率性分析",
,"舛岡 征浩","２次元積合せ問題における行動知識獲得の基礎研究",
1994,"H06",3,
,"太田原 利行","資源利用可能量の時間的変化を考慮した複数プロジェクト計画法に関する研究",
,"梶原 俊之","効率性分析における確率的変動の影響に関する研究",
,"安田 貴義","放射線外照射治療の３次元最適化",
,"木谷 靖","分散型生産システムシミュレーションにおけるモデル構築に関する研究",
,"松本 博忠","並列機械スケジューリング問題におけるルール抽出法に関する基礎研究",
,"市野 喜子","放射線腔内照射治療の多目的最適化に関する研究,－目的間トレードオフの効率化－",
,"野瀬 真也","ファジィデータに対する効率性分析に関する研究",
,"川勝 啓行","ジョブショップにおけるジョブと工具の機械割り当て法に関する研究",
,"荻田 篤史","分散型生産システムシミュレーションにおける同期機構に関する研究",
,"八瀬 雅子","脳血管モデルのステレオ画像からの三次元再構成",
1993,"H05",3,
,"住本 直樹","帰納的学習によるスケジューリング・ルール獲得手法に関する基礎研究",
,"角田 晴久","分散型生産システムシミュレーションに関する研究,－タイムバケット型同期機構－",
,"黒川 憲之","放射線外部照射治療における最適治療計画法に関する研究",
,"壷坂 佳照","オークション方式による生産スケジューリングの基礎研究",
,"川口 伸一","分散型生産システムシミュレーションに関する研究,－タイムバケット型同期における搬送システム－",
,"渡辺 幸二","ニューラルネットワークを用いた脳血管ステレオ画像の三次元再構成に関する基礎研究",
,"加来野 肇","平均納期ずれ最小化スケジューリング問題への遺伝アルゴリズムの適用",
,"松田 夏子","放射線治療計画視覚支援のためのユーザ・インターフェースに関する研究",
1992,"H04",3,
,"正岡 良規","作業時間分割性を考慮した時間制約付きプロジェクト計画法に関する研究",
,"平島 陽子","分散シミュレーションにおける通信メッセージに関する研究",
,"山根 真宇","ジョブ・ショップシミュレータにおける分散型シミュレーション対応機能に関する研究",
,"染田 敏彦","MR画像を用いた放射線治療計画における視覚支援システムの開発",
,"田中 美彦","繰り返し行程におけるインテリジェント・スケジューリングに関する研究",
,"諏訪 晴彦","インテリジェント・スケジューリングシステムにおける学習帰納に関する基礎研究",
,"東元 栄治","線形計画法を用いた放射線腔内照射治療の最適化に関する研究",
,"青木 由起子","計画からの乖離・変更度に基づくリスケジューリングに関する研究",
,"山田 達也","分散型生産システムシミュレーションにおける広域搬送系の実現に関する研究",
,"大羅 健司","分散型シミュレーション・システムの性能評価用シミュレータに関する研究",
,"橋本 靖彦","投影像・CT像撮像系の空間的位置合わせに関する研究",
1991,"H03",3,
,"矢田 晴之","医用断層画像に基づく実体モデル作成のための画像補間に関する研究",
,"山口 賢之","分散シミュレーションにおける通信効率に関する研究",
,"金田 健一","時間制約を考慮したプロジェクト管理法に関する研究",
,"加来 俊介","分散型シミュレーションにおける工場内搬送システムの表現に関する研究",
,"松下 千枝","医用投影像・断層像間の空間的位置合わせに関する研究",
,"三宅 敏之","放射線内照射治療計画最適化に対する線形計画法の適用",
,"勢濃 唯喜","ファジィ・フローショップ・スケジューリングに関する基礎研究",
,"北本 篤史","スプライン曲面補間を用いた骨盤の表現と実体モデルの作成に関する研究",
1990,"H02",3,
,"辻森 克也","拡張エンティティ関連モデルに基づく医用画像データベースシステム",
,"養父 真吾","アクセス効率を考慮した動的配置問題に関する基礎研究",
,"三宅 高徳","生産時点情報を用いたリスケジューリング実施時期に関する研究",
,"西川 明伸","複数目的地に対する無人搬送車の経路決定に関する研究",
,"蔭山 実香夫","実体モデル作成支援システムに関する研究",
,"足立 英次","パーソナルコンピュータを用いたMR画像の３次元化処理",
,"中島 孝夫","階層型システムに対応した分散シミュレーションに関する研究",
,"萬谷 耕二","分散ソフトウェアにおけるメッセージ通信方式に関する研究",
,"岡本 容典","脳血管三次元構成に対するニューラル・ネットワーク利用の可能性",
1989,"H01",3,
,"伊津野 貴彦","３次元放射線治療計画支援用画像情報検索機能に関する研究",
,"森本 洋史","脳血管ステレオ造影像に基づく相関法を用いた領域対応付けに関する研究",
,"長谷川 直樹","並行プログラミングによる計算機ネットワークシミュレータの試作",
,"石原 直樹","ロボット動作シミュレータにおける作業環境記述の自動化に関する研究",
,"淺田 克暢","血管構造知識の表現とその応用に関する研究",
,"堀場 美樹子","ソフトウェアの信頼性受入れ検査に関する研究",
,"堀坂 雅之","FMSシミュレータにおける自立分散型加工セルの階層的統合に関する研究",
,"伊藤 治生","汎用FMSシミュレータにおける自動搬送台車の非干渉走行制御機能の開発",
,"細川 大","生産時点情報に基づく最適リスケジューリング計画に関する研究",
1988,"S63",3,
,"坂口 政広","コンピュータ・グラフィックスを用いた３次元内照射治療計画システムの開発",
,"田渕 広平","自動搬送台車の走行経路決定アルゴリズムと待避路の効果に関する研究",
,"崎濱 健","シミュレーション技法を用いた自動搬送台車経路のレイアウト計画に関する研究",
,"大下 敦子","出荷用品揃え方式を考慮した倉庫内品目配置の最適化",
,"岩花 和彦","疑似Error Seedingによる離散型ソフトウェアの信頼性解析とその応用",
,"松永 尚文","三次元プリミティブ画像に基づく形状及び位置推定に関する研究",
,"早坂 浩","知識工学的手法に基づいた積み合わせ問題の解法に関する基礎的研究",
,"黒川 和俊","脳血管３次元構成像のサーフェス表示に関する研究",
,"本庄 裕司","多関節ロボットの障害物回避経路決定アルゴリズムの効率化",
1987,"S62",3,
,"住平 昌史","離散型ソフトウェアの信頼度成長モデルに関する基礎的研究",
,"寺田 義弘","ビデオディスク画像を用いた血管３次元情報計測に関する研究",
,"森沖 啓司","スタッカークレーン式自動倉庫運用シミュレータに関する研究",
,"松下 幸詞","パソコンによる多属性効用解析とその応用",
,"平越 裕之","パソコンによるファジィパラメータを含む多目的計画問題に対する対話型意思決定手法とその応用",
,"高田 実",F"MSシミュレータにおける意思決定機能拡張支援ツールに関する研究",
,"国武 敏行","放射線治療計画システムにおけるサーフェスモデル表示に関する研究",
,"酒井 覚","３次元情報に基づくロボット作業可能空間の抽出に関する研究",
,"川北 誠","ゲーム理論的アプローチによる多目的計画問題に関する研究",
,"田坂 光伸","デスクトップ型FMSシミュレータの開発",
1986,"S61",3,
,"河内 素子","汎用FMSシミュレータの設計・開発,－搬送系の制御・管理ブロックの設計と開発－",
,"出口 克自","画像処理技術を援用する骨梁特性の解析",
,"奥谷 清隆","n人協力分割関数型ゲームにおける解の概念",
,"竹谷 秀基","逆変分原理による最適構造計画の境界型取扱い",
,"西尾 繁蔵","多目的分数計画問題のファジィ環境における対話型意思決定",
,"水野 一郎","投影パターン解析による３次元形状認識に関する基礎的研究",
,"山脇 達也","ベイズ論的最適信頼性抜取検査に関する研究",
,"草場 康裕","変動荷重に対する最適構造設計",
,"熊本 和浩","極座標ロボットの干渉回避経路決定法に関する研究",
,"橋本 司","汎用FMSシミュレータの設計・開発,－意思決定に関する概念設計と全体の統合－",
,"西村 由里子","有限要素法による水頭症のシミュレーション",
,"田伏 俊明","汎用FMSシミュレータの設計・開発,－加工・保管系の制御・管理ブロックの設計と開発－",
,"田地野 悦子","３次元サーフェスモデル作成・表示システムの開発とその応用に関する研究",
,"近藤 博文","ファジィパラメータを含む多目的線形計画問題に対する対話型意思決定手法とその応用",
,"黒澤 秀明","n人協力ゲームの解の概念,－一目的から多目的へ－",
,"小澤 一彰","シネアンギオグラムに基づく脳血管３次元化処理の高精度化に関する研究",
1985,S60,3,
,"藤村 恒太","脳血管ステレオ造影像に基づく血管３次元構成",
,"吉永 晶子","FMC群の統合システム・シミュレータに関する研究",
